base_sha	id	compilo	oraculo	estado	clasificacion
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	BASE	si	autoprueba	0	verde
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	SEC-M63-LEASE-REGISTRO	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	SEC-M63-LEASE-TID	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	SEC-M63-OBSERVADOR-REGISTRO	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	SEC-M63-OBSERVADOR-TID	si	autoprueba	65	muerto
