base_sha	id	compilo	oraculo	estado	clasificacion
60def025db7355b81d3036998996e8e6643da1d8713a0510c218259d2921ba75	BASE	si	autoprueba	0	verde
60def025db7355b81d3036998996e8e6643da1d8713a0510c218259d2921ba75	SEC-M63-LEASE-REGISTRO	si	autoprueba	65	muerto
60def025db7355b81d3036998996e8e6643da1d8713a0510c218259d2921ba75	SEC-M63-LEASE-TID	si	autoprueba	65	muerto
60def025db7355b81d3036998996e8e6643da1d8713a0510c218259d2921ba75	SEC-M63-OBSERVADOR-REGISTRO	si	autoprueba	65	muerto
60def025db7355b81d3036998996e8e6643da1d8713a0510c218259d2921ba75	SEC-M63-OBSERVADOR-TID	si	autoprueba	65	muerto
