base_sha	id	compilo	oraculo	estado	clasificacion
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	BASE	si	autoprueba	0	verde
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	SEC-M63-LEASE-REGISTRO	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	SEC-M63-LEASE-TID	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	SEC-M63-OBSERVADOR-REGISTRO	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	SEC-M63-OBSERVADOR-TID	si	autoprueba	65	muerto
