id	modo	comando	sha_target	estado	stdout_bytes	stderr_bytes	stdout_eof	stderr_eof	no_retorno	duracion_ms	fd_inicio	fd_fin	hijos_inicio	hijos_fin	zombis_inicio	zombis_fin	grupos_inicio	grupos_fin	temporales_inicio	temporales_fin	grupo_ejecucion_esrch	oraculo	resultado
C01_BF_AUTO	normal	env O3C_P1_FATAL=auto testbin -test.run=^TestAutoridadO3cRechazosFatales$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	65	0	0	si	si	si	106	5	5	0	0	0	0	0	0	0	0	si	CF entrada: 65 EOF no retorno stdout stderr cero	GO
C08_BF_LEASE	normal	env O3C_P2_FATAL=1 testbin -test.run=^TestRevalidacionO3cLeaseInacreditableEsFatal$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	65	0	0	si	si	si	206	5	5	0	0	0	0	0	0	0	0	si	CF lease: 65 EOF no retorno stdout stderr cero	GO
C17_BF_PARTICION	normal	env O3C_P5_CASO=particion testbin -test.run=^TestHandoffO3cP5CasosAislados$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	65	0	0	si	si	si	207	5	5	0	0	0	0	0	0	0	0	si	CF particion owners: 65 EOF no retorno stdout stderr cero	GO
C01_BF_AUTO	race	env O3C_P1_FATAL=auto testbin -test.run=^TestAutoridadO3cRechazosFatales$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	65	0	0	si	si	si	106	5	5	0	0	0	0	0	0	0	0	si	CF entrada: 65 EOF no retorno stdout stderr cero	GO
C08_BF_LEASE	race	env O3C_P2_FATAL=1 testbin -test.run=^TestRevalidacionO3cLeaseInacreditableEsFatal$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	65	0	0	si	si	si	207	5	5	0	0	0	0	0	0	0	0	si	CF lease: 65 EOF no retorno stdout stderr cero	GO
C17_BF_PARTICION	race	env O3C_P5_CASO=particion testbin -test.run=^TestHandoffO3cP5CasosAislados$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	65	0	0	si	si	si	207	5	5	0	0	0	0	0	0	0	0	si	CF particion owners: 65 EOF no retorno stdout stderr cero	GO
