id	modo	comando	sha_target	estado	stdout_bytes	stderr_bytes	stdout_eof	stderr_eof	no_retorno	duracion_ms	fd_inicio	fd_fin	hijos_inicio	hijos_fin	zombis_inicio	zombis_fin	grupos_inicio	grupos_fin	temporales_inicio	temporales_fin	oraculo	resultado
O17_BF_PIDFD	normal	env O3B_P2_FATAL=1 testbin -test.run=^TestBarreraO3bSinReferenciaFiableEsFatal$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	65	0	0	si	si	si	109	4	4	0	0	0	0	0	0	0	0	BF pidfd sin referencia fiable: estado 65 EOF no retorno stdout y stderr vacios	GO
O17_BF_PARTICION	normal	env O3B_P6_FATAL=1 testbin -test.run=^TestHandoffO3bParticionIrreversibleEsFatal$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	65	0	0	si	si	si	210	4	4	0	0	0	0	0	0	0	0	BF particion irreversible: estado 65 EOF no retorno stdout y stderr vacios	GO
O17_BF_LEASE	normal	env O3B_P6_LEASE_FATAL=1 testbin -test.run=^TestHandoffO3bLeasePerdidaEsFatalPorAPI$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	65	0	0	si	si	si	208	4	4	0	0	0	0	0	0	0	0	BF lease perdida: estado 65 EOF no retorno stdout y stderr vacios	GO
O17_BF_PIDFD	race	env O3B_P2_FATAL=1 testbin -test.run=^TestBarreraO3bSinReferenciaFiableEsFatal$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	65	0	0	si	si	si	107	4	4	0	0	0	0	0	0	0	0	BF pidfd sin referencia fiable: estado 65 EOF no retorno stdout y stderr vacios	GO
O17_BF_PARTICION	race	env O3B_P6_FATAL=1 testbin -test.run=^TestHandoffO3bParticionIrreversibleEsFatal$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	65	0	0	si	si	si	208	4	4	0	0	0	0	0	0	0	0	BF particion irreversible: estado 65 EOF no retorno stdout y stderr vacios	GO
O17_BF_LEASE	race	env O3B_P6_LEASE_FATAL=1 testbin -test.run=^TestHandoffO3bLeasePerdidaEsFatalPorAPI$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	65	0	0	si	si	si	209	4	4	0	0	0	0	0	0	0	0	BF lease perdida: estado 65 EOF no retorno stdout y stderr vacios	GO
